17851	2
26577	2
6133	3
16543	3
12063	4
14381	4
18898	4
2112	5
10387	5
10515	5
14089	5
24766	5
18539	6
5941	7
23515	7
26435	7
15792	8
16189	8
1736	9
6391	9
7155	9
17461	9
22289	9
23155	9
5163	10
7441	10
923	11
2666	11
6115	11
6219	11
7052	11
8268	11
10155	11
12510	11
22270	11
24272	11
5770	12
6331	12
13856	12
21662	12
1927	13
2250	13
9040	13
9877	13
10105	13
12599	13
15314	13
22176	14
12213	15
18004	15
20272	15
25896	15
9873	16
1917	17
2450	17
2788	17
9349	17
9926	17
16798	17
18436	17
19282	17
19550	17
19565	17
23377	17
24393	17
27794	17
3961	18
5736	18
6534	18
14537	18
18236	18
21745	18
25078	18
26391	18
1102	19
8854	19
6464	20
8488	20
9085	20
25316	20
25882	20
10019	21
16368	21
21745	21
28483	21
27336	22
1873	23
5572	24
7350	24
11069	24
19724	24
349	25
862	25
1396	25
4506	25
5280	25
5984	25
6940	25
7397	25
7651	25
7769	25
8640	25
11614	25
12873	25
13210	25
18247	25
18612	25
19872	25
20326	25
24263	25
25054	25
4299	26
4854	26
5080	26
6896	26
7449	26
7881	26
8613	26
11549	26
15165	26
18025	26
19542	26
22104	26
24491	26
25355	26
27142	26
28300	26
14855	27
18912	27
17801	28
20491	28
21552	28
22574	28
1871	29
3741	29
13504	29
24724	29
25526	29
9374	30
10826	30
14915	30
24026	30
2576	31
2661	31
8039	31
9829	31
9889	31
10668	31
13331	31
15142	31
16003	31
17148	31
18427	31
19213	31
19495	31
28675	31
8584	32
12333	32
12503	32
18093	32
19692	32
25049	32
25480	32
26933	32
12869	33
16126	33
26096	33
12008	34
9466	35
14469	35
19290	35
3921	36
17616	36
20388	38
1449	40
1687	40
2565	40
3138	40
4284	40
8257	40
11768	40
17610	40
21174	40
21430	40
26004	40
12010	41
19521	41
21526	41
23728	41
24130	41
26088	41
26359	41
27360	41
15638	42
16580	42
23107	42
967	43
10964	43
11618	43
15142	43
16155	43
19495	43
20359	43
27915	43
28115	43
28675	43
3517	44
10474	44
13784	44
19873	44
21859	44
5214	45
5815	45
20145	45
26474	45
5557	46
15109	47
11981	48
26179	48
26391	48
27630	48
3126	49
19077	49
20867	49
5854	50
13715	50
14674	50
25589	50
26457	50
22933	51
4584	52
9342	52
10919	52
11274	52
13918	52
15107	52
15119	52
15457	52
21990	52
7817	53
25070	53
1306	54
5914	54
11586	54
16990	54
20790	54
27806	54
3688	55
5756	55
6246	55
6922	56
17514	56
20034	56
18073	57
19217	57
20880	57
10490	58
18865	58
2122	59
10983	59
22614	59
7113	60
28074	60
3774	61
16937	61
25627	61
27318	61
7806	62
22237	62
26740	62
25983	63
16294	64
16972	64
19731	64
22576	64
26553	64
27197	64
12799	65
14139	65
424	66
11889	66
15427	66
28231	66
13550	67
14605	67
16027	67
3831	68
7964	68
23143	68
24828	68
9582	69
13336	69
26594	69
4735	70
23432	70
5996	71
11865	71
13630	71
26362	71
6819	72
8561	72
8819	72
17643	72
18366	72
21167	72
3540	73
9418	73
14531	73
16033	73
16934	73
20926	73
24664	73
28049	73
